YourLanguageWord	YourLanguageExplanation	LanguageYouLearnWord	LanguageYouLearnPronunciation	LanguageYouLearnExplanation	Tags
a	Hiragana.	あ			
i	Hiragana.	い			
u	Hiragana.	う			
e	Hiragana.	え			
o	Hiragana.	お			
ka	Hiragana.	か			
ki	Hiragana.	き			
ku	Hiragana.	く			
ke	Hiragana.	け			
ko	Hiragana.	こ			
sa	Hiragana.	さ			
shi	Hiragana.	し			
su	Hiragana.	す			
se	Hiragana.	せ			
so	Hiragana.	そ			
ta	Hiragana.	た			
chi	Hiragana.	ち			
tsu	Hiragana.	つ			
te	Hiragana.	て			
to	Hiragana.	と			
na	Hiragana.	な			
ni	Hiragana.	に			
nu	Hiragana.	ぬ			
ne	Hiragana.	ね			
no	Hiragana.	の			
ha	Hiragana.	は			
hi	Hiragana.	ひ			
fu	Hiragana.	ふ			
he	Hiragana.	へ			
ho	Hiragana.	ほ			
ma	Hiragana.	ま			
mi	Hiragana.	み			
mu	Hiragana.	む			
me	Hiragana.	め			
mo	Hiragana.	も			
ra	Hiragana.	ら			
ri	Hiragana.	り		Sometimes written with a connection between the two strokes (like a big lower "n").	
ru	Hiragana.	る			
re	Hiragana.	れ			
ro	Hiragana.	ろ			
wa	Hiragana.	わ			
wo	Hiragana.	を			
n	Hiragana.	ん			
ya	Hiragana.	や			
yu	Hiragana.	ゆ			
yo	Hiragana.	よ			
ga	Hiragana.	が			
gi	Hiragana.	ぎ			
gu	Hiragana.	ぐ			
ge	Hiragana.	げ			
go	Hiragana.	ご			
za	Hiragana.	ざ			
ji	Hiragana.	じ			
zu	Hiragana.	ず			
ze	Hiragana.	ぜ			
zo	Hiragana.	ぞ			
da	Hiragana.	だ			
ji	Hiragana.	ぢ			
zu	Hiragana.	づ			
de	Hiragana.	で			
do	Hiragana.	ど			
ba	Hiragana.	ば			
bi	Hiragana.	び			
bu	Hiragana.	ぶ			
be	Hiragana.	べ			
bo	Hiragana.	ぼ			
pa	Hiragana.	ぱ			
pi	Hiragana.	ぴ			
pu	Hiragana.	ぷ			
pe	Hiragana.	ぺ			
po	Hiragana.	ぽ			
kya	Hiragana.	きゃ			
kyu	Hiragana.	きゅ			
kyo	Hiragana.	きょ			
sha	Hiragana.	しゃ			
shu	Hiragana.	しゅ			
sho	Hiragana.	しょ			
cha	Hiragana.	ちゃ			
chu	Hiragana.	ちゅ			
cho	Hiragana.	ちょ			
nya	Hiragana.	にゃ			
nyu	Hiragana.	にゅ			
nyo	Hiragana.	にょ			
hya	Hiragana.	ひゃ			
hyu	Hiragana.	ひゅ			
hyo	Hiragana.	ひょ			
mya	Hiragana.	みゃ			
myu	Hiragana.	みゅ			
myo	Hiragana.	みょ			
rya	Hiragana.	りゃ			
ryu	Hiragana.	りゅ			
ryo	Hiragana.	りょ			
gya	Hiragana.	ぎゃ			
gyu	Hiragana.	ぎゅ			
gyo	Hiragana.	ぎょ			
ja	Hiragana.	じゃ			
ju	Hiragana.	じゅ			
jo	Hiragana.	じょ			
bya	Hiragana.	びゃ			
byu	Hiragana.	びゅ			
byo	Hiragana.	びょ			
pya	Hiragana.	ぴゃ			
pyu	Hiragana.	ぴゅ			
pyo	Hiragana.	ぴょ			
